"subject" "activity" "domain" "feature" "variable" "direction" "average"
"24" 1 "STANDING" "f" "BodyBodyAccJerkMag" "std()" NA -0.541823079570029
"25" 1 "STANDING" "f" "BodyBodyGyroJerkMag" "mean()" NA -0.645970655298847
"26" 1 "STANDING" "f" "BodyBodyGyroJerkMag" "meanFreq()" NA 0.198031580056455
"27" 1 "STANDING" "f" "BodyBodyGyroJerkMag" "std()" NA -0.685811262634006
"28" 1 "STANDING" "f" "BodyBodyGyroMag" "mean()" NA -0.535002770337752
"29" 1 "STANDING" "f" "BodyBodyGyroMag" "meanFreq()" NA 0.0649309438160231
"30" 1 "STANDING" "f" "BodyBodyGyroMag" "std()" NA -0.566576670397695
"31" 1 "STANDING" "f" "BodyGyro" "mean()" "X" -0.623219182311527
"32" 1 "STANDING" "f" "BodyGyro" "mean()" "Y" -0.505309434070029
"33" 1 "STANDING" "f" "BodyGyro" "mean()" "Z" -0.553529065425648
"34" 1 "STANDING" "f" "BodyGyro" "meanFreq()" "X" -0.0320324102759078
"35" 1 "STANDING" "f" "BodyGyro" "meanFreq()" "Y" -0.0901517235974063
"36" 1 "STANDING" "f" "BodyGyro" "meanFreq()" "Z" -0.0180063943472334
"37" 1 "STANDING" "f" "BodyGyro" "std()" "X" -0.708263420861671
"38" 1 "STANDING" "f" "BodyGyro" "std()" "Y" -0.429825832648703
"39" 1 "STANDING" "f" "BodyGyro" "std()" "Z" -0.650476162132565
"40" 1 "STANDING" "t" "BodyAcc" "mean()" "X" 0.265696920582133
"41" 1 "STANDING" "t" "BodyAcc" "mean()" "Y" -0.0182981725176081
"42" 1 "STANDING" "t" "BodyAcc" "mean()" "Z" -0.10784573454611
"43" 1 "STANDING" "t" "BodyAcc" "std()" "X" -0.545795331328326
"44" 1 "STANDING" "t" "BodyAcc" "std()" "Y" -0.367716218227378
"45" 1 "STANDING" "t" "BodyAcc" "std()" "Z" -0.502645746562824
"46" 1 "STANDING" "t" "BodyAccJerk" "mean()" "X" 0.0770930495126801
"47" 1 "STANDING" "t" "BodyAccJerk" "mean()" "Y" 0.0165908438802305
"48" 1 "STANDING" "t" "BodyAccJerk" "mean()" "Z" -0.00910758730117003
"49" 1 "STANDING" "t" "BodyAccJerk" "std()" "X" -0.524721922818732
"50" 1 "STANDING" "t" "BodyAccJerk" "std()" "Y" -0.470412403511239
"51" 1 "STANDING" "t" "BodyAccJerk" "std()" "Z" -0.717322274881844
"52" 1 "STANDING" "t" "BodyAccJerkMag" "mean()" NA -0.545431612066571
"53" 1 "STANDING" "t" "BodyAccJerkMag" "std()" NA -0.515922167555159
"54" 1 "STANDING" "t" "BodyAccMag" "mean()" NA -0.453632943768818
"55" 1 "STANDING" "t" "BodyAccMag" "std()" NA -0.497096402038329
"56" 1 "STANDING" "t" "BodyGyro" "mean()" "X" -0.0208764064320173
"57" 1 "STANDING" "t" "BodyGyro" "mean()" "Y" -0.0880722729400576
"58" 1 "STANDING" "t" "BodyGyro" "mean()" "Z" 0.0862641666597983
"59" 1 "STANDING" "t" "BodyGyro" "std()" "X" -0.686555715201729
"60" 1 "STANDING" "t" "BodyGyro" "std()" "Y" -0.450979810499568
"61" 1 "STANDING" "t" "BodyGyro" "std()" "Z" -0.597496136795101
"62" 1 "STANDING" "t" "BodyGyroJerk" "mean()" "X" -0.0971120197265994
"63" 1 "STANDING" "t" "BodyGyroJerk" "mean()" "Y" -0.0417164808293948
"64" 1 "STANDING" "t" "BodyGyroJerk" "mean()" "Z" -0.0471393985477522
"65" 1 "STANDING" "t" "BodyGyroJerk" "std()" "X" -0.637812687210375
"66" 1 "STANDING" "t" "BodyGyroJerk" "std()" "Y" -0.634472244550432
"67" 1 "STANDING" "t" "BodyGyroJerk" "std()" "Z" -0.664591977786455
"68" 1 "STANDING" "t" "BodyGyroJerkMag" "mean()" NA -0.639517432642651
"69" 1 "STANDING" "t" "BodyGyroJerkMag" "std()" NA -0.652050770910663
"70" 1 "STANDING" "t" "BodyGyroMag" "mean()" NA -0.475404785802305
"71" 1 "STANDING" "t" "BodyGyroMag" "std()" NA -0.499839593745821
"72" 1 "STANDING" "t" "GravityAcc" "mean()" "X" 0.744867411573487
"73" 1 "STANDING" "t" "GravityAcc" "mean()" "Y" -0.0825562579855908
"74" 1 "STANDING" "t" "GravityAcc" "mean()" "Z" 0.072339870389049
"75" 1 "STANDING" "t" "GravityAcc" "std()" "X" -0.959859435936599
"76" 1 "STANDING" "t" "GravityAcc" "std()" "Y" -0.951150627458213
"77" 1 "STANDING" "t" "GravityAcc" "std()" "Z" -0.925817590867435
"78" 1 "STANDING" "t" "GravityAccMag" "mean()" NA -0.453632943768818
"79" 1 "STANDING" "t" "GravityAccMag" "std()" NA -0.497096402038329
"80" 2 "STANDING" "f" "BodyAcc" "mean()" "X" -0.57377091142947
"81" 2 "STANDING" "f" "BodyAcc" "mean()" "Y" -0.432566581302351
"82" 2 "STANDING" "f" "BodyAcc" "mean()" "Z" -0.630081222124834
"83" 2 "STANDING" "f" "BodyAcc" "meanFreq()" "X" -0.106763418901788
"84" 2 "STANDING" "f" "BodyAcc" "meanFreq()" "Y" 0.105734176023146
"85" 2 "STANDING" "f" "BodyAcc" "meanFreq()" "Z" 0.087210586428
"86" 2 "STANDING" "f" "BodyAcc" "std()" "X" -0.619788102803311
"87" 2 "STANDING" "f" "BodyAcc" "std()" "Y" -0.464723862913245
"88" 2 "STANDING" "f" "BodyAcc" "std()" "Z" -0.600678614835099
"89" 2 "STANDING" "f" "BodyAccJerk" "mean()" "X" -0.561682049622185
"90" 2 "STANDING" "f" "BodyAccJerk" "mean()" "Y" -0.50890379901457
"91" 2 "STANDING" "f" "BodyAccJerk" "mean()" "Z" -0.715745330403973
"92" 2 "STANDING" "f" "BodyAccJerk" "meanFreq()" "X" 0.0868000536209801
"93" 2 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Y" -0.139776595362185
"94" 2 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Z" -0.0942651868218543
"95" 2 "STANDING" "f" "BodyAccJerk" "std()" "X" -0.595105612895033
"96" 2 "STANDING" "f" "BodyAccJerk" "std()" "Y" -0.509147543673841
"97" 2 "STANDING" "f" "BodyAccJerk" "std()" "Z" -0.767087015496689
"98" 2 "STANDING" "f" "BodyAccMag" "mean()" NA -0.514569861316887
"99" 2 "STANDING" "f" "BodyAccMag" "meanFreq()" NA 0.192199738218212
"100" 2 "STANDING" "f" "BodyAccMag" "std()" NA -0.646662308457285
"101" 2 "STANDING" "f" "BodyBodyAccJerkMag" "mean()" NA -0.509746432970861
"102" 2 "STANDING" "f" "BodyBodyAccJerkMag" "meanFreq()" NA 0.193066821118212
"103" 2 "STANDING" "f" "BodyBodyAccJerkMag" "std()" NA -0.518800797709272
"104" 2 "STANDING" "f" "BodyBodyGyroJerkMag" "mean()" NA -0.751615078360927
"105" 2 "STANDING" "f" "BodyBodyGyroJerkMag" "meanFreq()" NA 0.124612068599768
"106" 2 "STANDING" "f" "BodyBodyGyroJerkMag" "std()" NA -0.744194981440397
"107" 2 "STANDING" "f" "BodyBodyGyroMag" "mean()" NA -0.699742945221854
"108" 2 "STANDING" "f" "BodyBodyGyroMag" "meanFreq()" NA 0.0471324812379801
"109" 2 "STANDING" "f" "BodyBodyGyroMag" "std()" NA -0.725310337688742
"110" 2 "STANDING" "f" "BodyGyro" "mean()" "X" -0.638717694593046
"111" 2 "STANDING" "f" "BodyGyro" "mean()" "Y" -0.722068978635762
"112" 2 "STANDING" "f" "BodyGyro" "mean()" "Z" -0.601594889654305
"113" 2 "STANDING" "f" "BodyGyro" "meanFreq()" "X" -0.00576500648245033
"114" 2 "STANDING" "f" "BodyGyro" "meanFreq()" "Y" -0.0702155008665563
"115" 2 "STANDING" "f" "BodyGyro" "meanFreq()" "Z" 0.0513627291214901
"116" 2 "STANDING" "f" "BodyGyro" "std()" "X" -0.734588540182119
"117" 2 "STANDING" "f" "BodyGyro" "std()" "Y" -0.72716774102649
"118" 2 "STANDING" "f" "BodyGyro" "std()" "Z" -0.683114494539735
"119" 2 "STANDING" "t" "BodyAcc" "mean()" "X" 0.273113115788079
"120" 2 "STANDING" "t" "BodyAcc" "mean()" "Y" -0.0191323183174834
"121" 2 "STANDING" "t" "BodyAcc" "mean()" "Z" -0.115649958175497
"122" 2 "STANDING" "t" "BodyAcc" "std()" "X" -0.605586497159271
"123" 2 "STANDING" "t" "BodyAcc" "std()" "Y" -0.428962986589404
"124" 2 "STANDING" "t" "BodyAcc" "std()" "Z" -0.589360062210596
"125" 2 "STANDING" "t" "BodyAccJerk" "mean()" "X" 0.0785353156747351
"126" 2 "STANDING" "t" "BodyAccJerk" "mean()" "Y" 0.00708771249764901
"127" 2 "STANDING" "t" "BodyAccJerk" "mean()" "Z" 0.000755760748377483
"128" 2 "STANDING" "t" "BodyAccJerk" "std()" "X" -0.557809603123841
"129" 2 "STANDING" "t" "BodyAccJerk" "std()" "Y" -0.491875889831788
"130" 2 "STANDING" "t" "BodyAccJerk" "std()" "Z" -0.741885388311258
"131" 2 "STANDING" "t" "BodyAccJerkMag" "mean()" NA -0.58777744543543
"132" 2 "STANDING" "t" "BodyAccJerkMag" "std()" NA -0.512115278415232
"133" 2 "STANDING" "t" "BodyAccMag" "mean()" NA -0.535281800541722
"134" 2 "STANDING" "t" "BodyAccMag" "std()" NA -0.552812545643709
"135" 2 "STANDING" "t" "BodyGyro" "mean()" "X" -0.0517030657821192
"136" 2 "STANDING" "t" "BodyGyro" "mean()" "Y" -0.0568420186817881
"137" 2 "STANDING" "t" "BodyGyro" "mean()" "Z" 0.0872599422291391
"138" 2 "STANDING" "t" "BodyGyro" "std()" "X" -0.710648927815894
"139" 2 "STANDING" "t" "BodyGyro" "std()" "Y" -0.722943674337748
"140" 2 "STANDING" "t" "BodyGyro" "std()" "Z" -0.634888927843046
"141" 2 "STANDING" "t" "BodyGyroJerk" "mean()" "X" -0.0875587491668874
"142" 2 "STANDING" "t" "BodyGyroJerk" "mean()" "Y" -0.0433986835453642
"143" 2 "STANDING" "t" "BodyGyroJerk" "mean()" "Z" -0.0557541828188742
"144" 2 "STANDING" "t" "BodyGyroJerk" "std()" "X" -0.671679103311258
"145" 2 "STANDING" "t" "BodyGyroJerk" "std()" "Y" -0.783595466728477
"146" 2 "STANDING" "t" "BodyGyroJerk" "std()" "Z" -0.674611933293046
"147" 2 "STANDING" "t" "BodyGyroJerkMag" "mean()" NA -0.746559539039735
"148" 2 "STANDING" "t" "BodyGyroJerkMag" "std()" NA -0.740088733655629
"149" 2 "STANDING" "t" "BodyGyroMag" "mean()" NA -0.614771054893146
"150" 2 "STANDING" "t" "BodyGyroMag" "std()" NA -0.680584887880795
"151" 2 "STANDING" "t" "GravityAcc" "mean()" "X" 0.660782866688742
"152" 2 "STANDING" "t" "GravityAcc" "mean()" "Y" -0.147219886910411
"153" 2 "STANDING" "t" "GravityAcc" "mean()" "Z" 0.134865335090728
"154" 2 "STANDING" "t" "GravityAcc" "std()" "X" -0.963015508245033
"155" 2 "STANDING" "t" "GravityAcc" "std()" "Y" -0.960033560165563
"156" 2 "STANDING" "t" "GravityAcc" "std()" "Z" -0.945365383907285
"157" 2 "STANDING" "t" "GravityAccMag" "mean()" NA -0.535281800541722
"158" 2 "STANDING" "t" "GravityAccMag" "std()" NA -0.552812545643709
"159" 3 "STANDING" "f" "BodyAcc" "mean()" "X" -0.625733289873607
"160" 3 "STANDING" "f" "BodyAcc" "mean()" "Y" -0.501779938505279
"161" 3 "STANDING" "f" "BodyAcc" "mean()" "Z" -0.699656828592375
"162" 3 "STANDING" "f" "BodyAcc" "meanFreq()" "X" -0.192817340495308
"163" 3 "STANDING" "f" "BodyAcc" "meanFreq()" "Y" 0.0389282523284457
"164" 3 "STANDING" "f" "BodyAcc" "meanFreq()" "Z" 0.00447261449052786
"165" 3 "STANDING" "f" "BodyAcc" "std()" "X" -0.623805015199413
"166" 3 "STANDING" "f" "BodyAcc" "std()" "Y" -0.502753639795894
"167" 3 "STANDING" "f" "BodyAcc" "std()" "Z" -0.657443765803519
"168" 3 "STANDING" "f" "BodyAccJerk" "mean()" "X" -0.645893496630499
"169" 3 "STANDING" "f" "BodyAccJerk" "mean()" "Y" -0.582949919157742
"170" 3 "STANDING" "f" "BodyAccJerk" "mean()" "Z" -0.780101644193548
"171" 3 "STANDING" "f" "BodyAccJerk" "meanFreq()" "X" -0.0476941200470968
"172" 3 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Y" -0.236874240885924
"173" 3 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Z" -0.193657539305073
"174" 3 "STANDING" "f" "BodyAccJerk" "std()" "X" -0.657844055881525
"175" 3 "STANDING" "f" "BodyAccJerk" "std()" "Y" -0.559851186088408
"176" 3 "STANDING" "f" "BodyAccJerk" "std()" "Z" -0.81080601659824
"177" 3 "STANDING" "f" "BodyAccMag" "mean()" NA -0.579076453758064
"178" 3 "STANDING" "f" "BodyAccMag" "meanFreq()" NA 0.0770665587562757
"179" 3 "STANDING" "f" "BodyAccMag" "std()" NA -0.663079838985044
"180" 3 "STANDING" "f" "BodyBodyAccJerkMag" "mean()" NA -0.604752108072727
"181" 3 "STANDING" "f" "BodyBodyAccJerkMag" "meanFreq()" NA 0.11231984174566
"182" 3 "STANDING" "f" "BodyBodyAccJerkMag" "std()" NA -0.615643694857361
"183" 3 "STANDING" "f" "BodyBodyGyroJerkMag" "mean()" NA -0.810085498651026
"184" 3 "STANDING" "f" "BodyBodyGyroJerkMag" "meanFreq()" NA 0.0599628733252199
"185" 3 "STANDING" "f" "BodyBodyGyroJerkMag" "std()" NA -0.810032718739003
"186" 3 "STANDING" "f" "BodyBodyGyroMag" "mean()" NA -0.716822144279179
"187" 3 "STANDING" "f" "BodyBodyGyroMag" "meanFreq()" NA -0.0846075231245126
"188" 3 "STANDING" "f" "BodyBodyGyroMag" "std()" NA -0.703839403007038
"189" 3 "STANDING" "f" "BodyGyro" "mean()" "X" -0.642097719778592
"190" 3 "STANDING" "f" "BodyGyro" "mean()" "Y" -0.775144985073314
"191" 3 "STANDING" "f" "BodyGyro" "mean()" "Z" -0.670734708996481
"192" 3 "STANDING" "f" "BodyGyro" "meanFreq()" "X" -0.102568067670674
"193" 3 "STANDING" "f" "BodyGyro" "meanFreq()" "Y" -0.167675025582991
"194" 3 "STANDING" "f" "BodyGyro" "meanFreq()" "Z" -0.0321862688221114
"195" 3 "STANDING" "f" "BodyGyro" "std()" "X" -0.719276622702346
"196" 3 "STANDING" "f" "BodyGyro" "std()" "Y" -0.758505287214076
"197" 3 "STANDING" "f" "BodyGyro" "std()" "Z" -0.751008875659824
"198" 3 "STANDING" "t" "BodyAcc" "mean()" "X" 0.273428719636364
"199" 3 "STANDING" "t" "BodyAcc" "mean()" "Y" -0.017856067384956
"200" 3 "STANDING" "t" "BodyAcc" "mean()" "Z" -0.106492632429097
"201" 3 "STANDING" "t" "BodyAcc" "std()" "X" -0.623413602046921
"202" 3 "STANDING" "t" "BodyAcc" "std()" "Y" -0.480015920697654
"203" 3 "STANDING" "t" "BodyAcc" "std()" "Z" -0.653625579293255
"204" 3 "STANDING" "t" "BodyAccJerk" "mean()" "X" 0.0701731261988856
"205" 3 "STANDING" "t" "BodyAccJerk" "mean()" "Y" 0.0144664329060411
"206" 3 "STANDING" "t" "BodyAccJerk" "mean()" "Z" -0.000526818872875366
"207" 3 "STANDING" "t" "BodyAccJerk" "std()" "X" -0.635484688041056
"208" 3 "STANDING" "t" "BodyAccJerk" "std()" "Y" -0.55721186773783
"209" 3 "STANDING" "t" "BodyAccJerk" "std()" "Z" -0.796066240234604
"210" 3 "STANDING" "t" "BodyAccJerkMag" "mean()" NA -0.650182434328446
"211" 3 "STANDING" "t" "BodyAccJerkMag" "std()" NA -0.607658214170381
"212" 3 "STANDING" "t" "BodyAccMag" "mean()" NA -0.563140802770059
"213" 3 "STANDING" "t" "BodyAccMag" "std()" NA -0.591224780306452
"214" 3 "STANDING" "t" "BodyGyro" "mean()" "X" -0.0248490682828446
"215" 3 "STANDING" "t" "BodyGyro" "mean()" "Y" -0.0743565308442815
"216" 3 "STANDING" "t" "BodyGyro" "mean()" "Z" 0.0866875497119062
"217" 3 "STANDING" "t" "BodyGyro" "std()" "X" -0.699262195705865
"218" 3 "STANDING" "t" "BodyGyro" "std()" "Y" -0.76302218170088
"219" 3 "STANDING" "t" "BodyGyro" "std()" "Z" -0.709483440322581
"220" 3 "STANDING" "t" "BodyGyroJerk" "mean()" "X" -0.0991554609633431
"221" 3 "STANDING" "t" "BodyGyroJerk" "mean()" "Y" -0.0401923943695015
"222" 3 "STANDING" "t" "BodyGyroJerk" "mean()" "Z" -0.0521178264170088
"223" 3 "STANDING" "t" "BodyGyroJerk" "std()" "X" -0.689328428607038
"224" 3 "STANDING" "t" "BodyGyroJerk" "std()" "Y" -0.842659862111437
"225" 3 "STANDING" "t" "BodyGyroJerk" "std()" "Z" -0.743028500565982
"226" 3 "STANDING" "t" "BodyGyroJerkMag" "mean()" NA -0.784056656246334
"227" 3 "STANDING" "t" "BodyGyroJerkMag" "std()" NA -0.80366136372434
"228" 3 "STANDING" "t" "BodyGyroMag" "mean()" NA -0.643150121648094
"229" 3 "STANDING" "t" "BodyGyroMag" "std()" NA -0.674010290979472
"230" 3 "STANDING" "t" "GravityAcc" "mean()" "X" 0.707814353343108
"231" 3 "STANDING" "t" "GravityAcc" "mean()" "Y" -0.0260590480328739
"232" 3 "STANDING" "t" "GravityAcc" "mean()" "Z" 0.0480937904190616
"233" 3 "STANDING" "t" "GravityAcc" "std()" "X" -0.966457565630499
"234" 3 "STANDING" "t" "GravityAcc" "std()" "Y" -0.9445645371261
"235" 3 "STANDING" "t" "GravityAcc" "std()" "Z" -0.926966278211144
"236" 3 "STANDING" "t" "GravityAccMag" "mean()" NA -0.563140802770059
"237" 3 "STANDING" "t" "GravityAccMag" "std()" NA -0.591224780306452
"238" 4 "SITTING" "f" "BodyAcc" "mean()" "X" -0.334927219252874
"239" 4 "SITTING" "f" "BodyAcc" "mean()" "Y" -0.183638950334483
"240" 4 "SITTING" "f" "BodyAcc" "mean()" "Z" -0.611943277701149
"241" 4 "SITTING" "f" "BodyAcc" "meanFreq()" "X" -0.288644777227586
"242" 4 "SITTING" "f" "BodyAcc" "meanFreq()" "Y" 0.1315536406
"243" 4 "SITTING" "f" "BodyAcc" "meanFreq()" "Z" -0.055979845282092
"244" 4 "SITTING" "f" "BodyAcc" "std()" "X" -0.263682625386207
"245" 4 "SITTING" "f" "BodyAcc" "std()" "Y" -0.228399871908161
"246" 4 "SITTING" "f" "BodyAcc" "std()" "Z" -0.552873982298851
"247" 4 "SITTING" "f" "BodyAccJerk" "mean()" "X" -0.372550915445977
"248" 4 "SITTING" "f" "BodyAccJerk" "mean()" "Y" -0.285192418755862
"249" 4 "SITTING" "f" "BodyAccJerk" "mean()" "Z" -0.720976018160919
"250" 4 "SITTING" "f" "BodyAccJerk" "meanFreq()" "X" -0.14938759582977
"251" 4 "SITTING" "f" "BodyAccJerk" "meanFreq()" "Y" -0.247045855852874
"252" 4 "SITTING" "f" "BodyAccJerk" "meanFreq()" "Z" -0.226417574885057
"253" 4 "SITTING" "f" "BodyAccJerk" "std()" "X" -0.360214003509195
"254" 4 "SITTING" "f" "BodyAccJerk" "std()" "Y" -0.265772746463218
"255" 4 "SITTING" "f" "BodyAccJerk" "std()" "Z" -0.786448766436782
"256" 4 "SITTING" "f" "BodyAccMag" "mean()" NA -0.32662695802069
"257" 4 "SITTING" "f" "BodyAccMag" "meanFreq()" NA 0.16853958884023
"258" 4 "SITTING" "f" "BodyAccMag" "std()" NA -0.461404361413793
"259" 4 "SITTING" "f" "BodyBodyAccJerkMag" "mean()" NA -0.35743173438046
"260" 4 "SITTING" "f" "BodyBodyAccJerkMag" "meanFreq()" NA 0.139974876874713
"261" 4 "SITTING" "f" "BodyBodyAccJerkMag" "std()" NA -0.425759905436782
"262" 4 "SITTING" "f" "BodyBodyGyroJerkMag" "mean()" NA -0.719798534367816
"263" 4 "SITTING" "f" "BodyBodyGyroJerkMag" "meanFreq()" NA 0.248646947515517
"264" 4 "SITTING" "f" "BodyBodyGyroJerkMag" "std()" NA -0.771924614712644
"265" 4 "SITTING" "f" "BodyBodyGyroMag" "mean()" NA -0.577405288747126
"266" 4 "SITTING" "f" "BodyBodyGyroMag" "meanFreq()" NA -0.0148733344968966
"267" 4 "SITTING" "f" "BodyBodyGyroMag" "std()" NA -0.57467201045977
"268" 4 "SITTING" "f" "BodyGyro" "mean()" "X" -0.366240979524138
"269" 4 "SITTING" "f" "BodyGyro" "mean()" "Y" -0.732761832528736
"270" 4 "SITTING" "f" "BodyGyro" "mean()" "Z" -0.515054256965517
"271" 4 "SITTING" "f" "BodyGyro" "meanFreq()" "X" -0.110704448928736
"272" 4 "SITTING" "f" "BodyGyro" "meanFreq()" "Y" -0.393188059850575
"273" 4 "SITTING" "f" "BodyGyro" "meanFreq()" "Z" 0.187963566470115
"274" 4 "SITTING" "f" "BodyGyro" "std()" "X" -0.522176196827586
"275" 4 "SITTING" "f" "BodyGyro" "std()" "Y" -0.637891595977012
"276" 4 "SITTING" "f" "BodyGyro" "std()" "Z" -0.675508491034483
"277" 4 "SITTING" "t" "BodyAcc" "mean()" "X" 0.272539814977012
"278" 4 "SITTING" "t" "BodyAcc" "mean()" "Y" -0.0196269625326897
"279" 4 "SITTING" "t" "BodyAcc" "mean()" "Z" -0.11315608545977
"280" 4 "SITTING" "t" "BodyAcc" "std()" "X" -0.281964430525287
"281" 4 "SITTING" "t" "BodyAcc" "std()" "Y" -0.17613742984931
"282" 4 "SITTING" "t" "BodyAcc" "std()" "Z" -0.549282546551724
"283" 4 "SITTING" "t" "BodyAccJerk" "mean()" "X" 0.0775713294482759
"284" 4 "SITTING" "t" "BodyAccJerk" "mean()" "Y" 0.0174117419027931
"285" 4 "SITTING" "t" "BodyAccJerk" "mean()" "Z" -0.00360800725517241
"286" 4 "SITTING" "t" "BodyAccJerk" "std()" "X" -0.336788403446092
"287" 4 "SITTING" "t" "BodyAccJerk" "std()" "Y" -0.251158235097701
"288" 4 "SITTING" "t" "BodyAccJerk" "std()" "Z" -0.753874834367816
"289" 4 "SITTING" "t" "BodyAccJerkMag" "mean()" NA -0.382594780214138
"290" 4 "SITTING" "t" "BodyAccJerkMag" "std()" NA -0.383932867114943
"291" 4 "SITTING" "t" "BodyAccMag" "mean()" NA -0.241791763733333
"292" 4 "SITTING" "t" "BodyAccMag" "std()" NA -0.34509942083908
"293" 4 "SITTING" "t" "BodyGyro" "mean()" "X" -0.0232873082755172
"294" 4 "SITTING" "t" "BodyGyro" "mean()" "Y" -0.0839998463471264
"295" 4 "SITTING" "t" "BodyGyro" "mean()" "Z" 0.0868888209068965
"296" 4 "SITTING" "t" "BodyGyro" "std()" "X" -0.483022565356322
"297" 4 "SITTING" "t" "BodyGyro" "std()" "Y" -0.667520037241379
"298" 4 "SITTING" "t" "BodyGyro" "std()" "Z" -0.603180896781609
"299" 4 "SITTING" "t" "BodyGyroJerk" "mean()" "X" -0.116189387751724
"300" 4 "SITTING" "t" "BodyGyroJerk" "mean()" "Y" -0.035932478745977
"301" 4 "SITTING" "t" "BodyGyroJerk" "mean()" "Z" -0.0493020654252874
"302" 4 "SITTING" "t" "BodyGyroJerk" "std()" "X" -0.503054162298851
"303" 4 "SITTING" "t" "BodyGyroJerk" "std()" "Y" -0.849875585632184
"304" 4 "SITTING" "t" "BodyGyroJerk" "std()" "Z" -0.565894748356322
"305" 4 "SITTING" "t" "BodyGyroJerkMag" "mean()" NA -0.686436698735632
"306" 4 "SITTING" "t" "BodyGyroJerkMag" "std()" NA -0.733322662413793
"307" 4 "SITTING" "t" "BodyGyroMag" "mean()" NA -0.43332133988046
"308" 4 "SITTING" "t" "BodyGyroMag" "std()" NA -0.52562316816092
"309" 4 "SITTING" "t" "GravityAcc" "mean()" "X" 0.764436780229885
"310" 4 "SITTING" "t" "GravityAcc" "mean()" "Y" 0.044337788916092
"311" 4 "SITTING" "t" "GravityAcc" "mean()" "Z" 0.125457421218391
"312" 4 "SITTING" "t" "GravityAcc" "std()" "X" -0.956953066206897
"313" 4 "SITTING" "t" "GravityAcc" "std()" "Y" -0.938823037356322
"314" 4 "SITTING" "t" "GravityAcc" "std()" "Z" -0.949282320574713
"315" 4 "SITTING" "t" "GravityAccMag" "mean()" NA -0.241791763733333
"316" 4 "SITTING" "t" "GravityAccMag" "std()" NA -0.34509942083908
"317" 4 "STANDING" "f" "BodyAcc" "mean()" "X" -0.739969365652174
"318" 4 "STANDING" "f" "BodyAcc" "mean()" "Y" -0.655273777351739
"319" 4 "STANDING" "f" "BodyAcc" "mean()" "Z" -0.809437242608696
"320" 4 "STANDING" "f" "BodyAcc" "meanFreq()" "X" -0.145131702128609
"321" 4 "STANDING" "f" "BodyAcc" "meanFreq()" "Y" 0.0670746183421739
"322" 4 "STANDING" "f" "BodyAcc" "meanFreq()" "Z" -0.00144184246847826
"323" 4 "STANDING" "f" "BodyAcc" "std()" "X" -0.723840788472826
"324" 4 "STANDING" "f" "BodyAcc" "std()" "Y" -0.650508323306087
"325" 4 "STANDING" "f" "BodyAcc" "std()" "Z" -0.767731153913043
"326" 4 "STANDING" "f" "BodyAccJerk" "mean()" "X" -0.757736461280435
"327" 4 "STANDING" "f" "BodyAccJerk" "mean()" "Y" -0.72141722826087
"328" 4 "STANDING" "f" "BodyAccJerk" "mean()" "Z" -0.864561654652174
"329" 4 "STANDING" "f" "BodyAccJerk" "meanFreq()" "X" 0.0557577192943913
"330" 4 "STANDING" "f" "BodyAccJerk" "meanFreq()" "Y" -0.155444234118261
